comodidad	安慰 (ān wèi)
Plano / Nivelado / Empatado. \n Matiz: Superficie sin desniveles o resultado igualado.	平 (píng)
Calma / Tranquilo. \n Matiz: Ausencia de agitación en el ambiente o en el ánimo.	平静 (píng jìng)
Promedio / Media. \n Matiz: Distribución equitativa de una cantidad.	平均 (píng jūn)
Evaluar / Valoración. \n Matiz: Juicio sobre el valor o calidad de algo o alguien.	评价 (píng jià)
Destruir / Arruinar / Incumplir. \n Matiz: Dañar algo material o violar una regla. \n Frecuentemente implica intención negativa.	破坏 (pò huài)
Popularizar / Difundir. \n Matiz: Hacer que algo sea accesible o conocido por el público.	普及 (pǔ jí)
Esperar / Anhelar. \n Matiz: Espera con ilusión o expectativa de que algo suceda.	期待 (qī dài)
Durante / Periodo. \n Matiz: El transcurso de un tiempo determinado.	期间 (qī jiān)
Ordenado / Completo. \n Matiz: Todos los elementos están presentes o alineados.	齐 (qí)
El resto / Lo demás. \n Matiz: Lo que sobra de un grupo tras quitar una parte.	其余 (qí yú)
Empresa / Corporación.	企业 (qǐ yè)
Globo.	气球 (qì qiú)
Gasolina.	汽油 (qì yóu)
Avanzar. \n Matiz: Seguir adelante, progresar.	前进 (qián jìn)
Futuro / Perspectivas. \n Matiz: El porvenir, especialmente en lo profesional.	前途 (qián tú)
Dirigirse a / Ir hacia. \n Matiz: Uso formal para indicar destino.	前往 (qián wǎng)
Poco profundo / Claro (color). \n Matiz: Escasa profundidad física o tonalidad suave.	浅 (qiǎn)
Poderoso / Imponente. \n Matiz: Fuerza a gran escala (ej. un ejército o país).	强大 (qiáng dà)
Enfatizar / Recalcar. \n Matiz: Dar importancia especial a una idea.	强调 (qiáng diào)
Intenso / Fuerte. \n Matiz: Grado extremo de un sentimiento, luz u olor.	强烈 (qiáng liè)
Pared / Muro.	墙 (qiáng)
Cortar. \n Matiz: Tajar con un cuchillo (ej. verduras).	切 (qiè)
Pariente / Besar. \n Matiz: Raíz para relaciones familiares o afecto.	亲 (qīn)
adj. Querido(a) / Amado(a). \n Matiz: Expresión de gran afecto.	亲爱 (qīn ài)
Amable / Cordial. \n Matiz: Trato cálido que hace sentir a gusto a los demás.	亲切 (qīn qiè)
Familiares / Parientes cercanos.	亲人 (qīn rén)
Personalmente / En persona. \n Matiz: Hacer algo uno mismo sin delegar.	亲自 (qīn zì)
Fácilmente / A la ligera. \n Matiz: Hacer algo sin dificultad o sin pensarlo bien.	轻易 (qīng yì)
Emoción / Sentimiento. \n Matiz: Afecto o estado emocional complejo.	情感 (qíng gǎn)
Escena / Panorama. \n Matiz: La vista o situación en un momento dado.	情景 (qíng jǐng)
Consultar / Pedir consejo. \n Matiz: Pedir humildemente guía a un experto.	请教 (qǐng jiào)
Solicitar / Rogar. \n Matiz: Pedir algo formalmente o con insistencia.	请求 (qǐng qiú)
Pobre. \n Matiz: Falta de recursos económicos.	穷 (qióng)
Tendencia. \n Matiz: La dirección en la que algo se está desarrollando.	趋势 (qū shì)
Fallecer. \n Matiz: Eufemismo formal para "morir".	去世 (qù shì)
Integral / Completo. \n Matiz: Que abarca todos los aspectos de un asunto.	全面 (quán miàn)
Todos / El colectivo. \n Matiz: Se usa para un grupo humano completo.	全体 (quán tǐ)
Asegurar / Garantizar. \n Matiz: Hacer lo necesario para que algo suceda.	确保 (què bǎo)
Confirmar / Determinar. \n Matiz: Fijar algo con seguridad.	确定 (què dìng)
Confirmar / Verificar. \n Matiz: Corroborar la validez de algo o una reserva.	确认 (què rèn)
Grupo / Multitud / Rebaño. \n Matiz: Clasificador para un conjunto de seres vivos.	群 (qún)
Arder / Combustión.	燃烧 (rán shāo)
Cálido / Entusiasta. \n Matiz: Referido a aplausos o bienvenidas animadas.	热烈 (rè liè)
Talento / Persona capaz. \n Matiz: Individuo con habilidades valiosas.	人才 (rén cái)
Perfeccionar, mejorar; perfecto, completo y excelente. \n Se refiere a que algo (un plan, una ley, un sistema) está bien desarrollado y no tiene fallos. Es un término de calidad, no de cantidad.	完善 (wán shàn)
"amar apasionadamente" o "tener gran entusiasmo por algo" (una profesión, un arte, una causa).	热爱 (rè ài)
#63. población	人口 (rén kǒu)
Reflexionar, meditar, ponderar. \n Es un nivel intelectual superior. No es solo "pensar", es procesar un problema profundo o una cuestión filosófica. Muy usado en ámbitos académicos o científicos.	思考 (sī kǎo)
Humanidad / El ser humano. \n Matiz: Se refiere a la especie humana en su conjunto.	人类 (rén lèi)
El pueblo. \n Matiz: Tiene una connotación política o social (ej. "el pueblo chino").	人民 (rén mín)
Renminbi (RMB). \n Matiz: La moneda oficial de la República Popular China.	人民币 (rén mín bì)
Multitud / Gentío. \n Matiz: Grupo de personas reunidas en un lugar físico.	人群 (rén qún)
Cómo / De qué manera. \n Matiz: Pronombre interrogativo formal para preguntar el método.	如何 (rú hé)
Débil. \n Matiz: Falta de fuerza física, política o de carácter.	弱 (ruò)
Colorido / Tonalidad. \n Matiz: El matiz cromático o el "sabor" emocional de algo.	色彩 (sè cǎi)
Arena.	沙子 (shā zi)
Secar al sol / Exhibir. \n Matiz: Poner algo bajo el sol o "postear" algo para presumir.	晒 (shài)
Bondadoso / Bueno. \n Matiz: Cualidad moral de tener buen corazón.	善良 (shàn liáng)
Herida / Daño. \n Matiz: Raíz para lesiones físicas o emocionales.	伤 (shāng)
Dañar / Herir. \n Matiz: Causar un perjuicio físico o moral a otro.	伤害 (shāng hài)
Comerciante / Hombre de negocios.	商人 (shāng rén)
Asuntos comerciales / Business. \n Matiz: Relacionado con transacciones de negocios.	商务 (shāng wù)
Comercio / Negocio. \n Matiz: La actividad económica de compra y venta.	商业 (shāng yè)
Apreciar / Admirar / Premiar. \n Matiz: Raíz para disfrutar de la belleza o dar un premio.	赏 (shǎng)
Ascender / Elevarse. \n Matiz: Aumento de nivel, precio o posición (formal).	上升 (shàng shēng)
Quemar / Cocinar / Fiebre. \n Matiz: Usar fuego o tener temperatura corporal alta.	烧 (shāo)
Equipo / Instalaciones. \n Matiz: Conjunto de máquinas o aparatos para un fin.	设备 (shè bèi)
Diseñar / Diseño. \n Matiz: Planear y crear la forma o funcionamiento de algo.	设计 (shè jì)
Establecer / Fundar. \n Matiz: Crear una organización, institución o regla formal.	设立 (shè lì)
Instalaciones / Infraestructura. \n Matiz: Construcciones que facilitan una actividad.	设施 (shè shī)
Configurar / Establecer. \n Matiz: Ajustar parámetros (computación) o colocar algo.	设置 (shè zhì)
Figura / Complexión. \n Matiz: La forma física y proporciones del cuerpo humano.	身材 (shēn cái)
Identidad / Estatus. \n Matiz: Quién es una persona legal o socialmente.	身份 (shēn fèn)
Profundo / Sólido. \n Matiz: Sentimientos o amistades de larga duración y fuerza.	深厚 (shēn hòu)
Profundo / Calado. \n Matiz: Una impresión o pensamiento que llega muy hondo.	深刻 (shēn kè)
Profundizar / Adentrarse. \n Matiz: Ir al fondo de un asunto o lugar remoto.	深入 (shēn rù)
Mito / Leyenda.	神话 (shén huà)
Misterioso / Enigmático. \n Matiz: Algo que es difícil de conocer o comprender.	神秘 (shén mì)
Producir / Fabricar / Dar a luz. \n Matiz: Producción industrial o parto.	生产 (shēng chǎn)
Existir / Sobrevivir. \n Matiz: Mantenerse con vida en condiciones difíciles.	生存 (shēng cún)
Vívido / Animado. \n Matiz: Una descripción o relato que parece real y fluido.	生动 (shēng dòng)
Crecer / Desarrollarse. \n Matiz: Aumento físico de plantas, animales o personas.	生长 (shēng zhǎng)
Vencer / Ganar. \n Matiz: Ser superior en una contienda.	胜 (shèng)
Victoria / Triunfo.	胜利 (shèng lì)
Desempleado / Paro. \n Matiz: Perder el puesto de trabajo.	失业 (shī yè)
Poema / Poesía.	诗 (shī)
Poeta.	诗人 (shī rén)
Húmedo / Mojado.	湿 (shī)
Piedra.	石头 (shí tou)
Era / Época. \n Matiz: Periodo histórico con características propias.	时代 (shí dài)
Momento / Constante. \n Matiz: Un punto puntual o la idea de "en todo momento".	时刻 (shí kè)
Fuerza / Poderío. \n Matiz: Capacidad real (económica, militar, deportiva) de alguien.	实力 (shí lì)
Implementar / Llevar a cabo. \n Matiz: Poner en práctica un plan o política formal.	实施 (shí shī)
Pasantía / Prácticas. \n Matiz: Trabajo temporal para aprender un oficio.	实习 (shí xí)
hacer realidad, materializar, lograr que algo planeado o deseado se convierta en realidad. \n Matiz: algo existía como objetivo, sueño, plan, ideal o función, y finalmente se hizo realidad.	实现 (shí xiàn) \n 实现梦想 (Hacer realidad un sueño)
Llevar a cabo / Ejecutar. \n Matiz: Aplicar un sistema o medida administrativa.	实行 (shí xíng)
Experimento / Experimentar.	实验 (shí yàn)
Laboratorio.	实验室 (shí yàn shì)
Práctico / Útil. \n Matiz: Que tiene una aplicación real y provechosa.	实用 (shí yòng)
De principio a fin / Siempre. \n Matiz: Permanencia de una actitud en el tiempo. \n indica continuidad total (todo el tiempo, de principio a fin)	始终 (shǐ zhōng)
Parecido a / Como si. \n Matiz: Indica semejanza (usado al final de la frase).	似的 (shì de)
Parece / Al parecer. \n Matiz: Indica una suposición basada en lo que se ve.	似乎 (sì hū)
Accidente. \n Matiz: Suceso inesperado que causa daño.	事故 (shì gù)
Incidente / Evento. \n Matiz: Suceso de cierta importancia social o política.	事件 (shì jiàn)
Hecho / Realidad. \n Matiz: Lo que ha sucedido objetivamente.	事实 (shì shí)
Cosa / Objeto. \n Matiz: Cualquier elemento concreto o abstracto del mundo.	事物 (shì wù)
De antemano / Previamente. \n Matiz: Hacer algo antes de que ocurra el evento.	事先 (shì xiān)
Carrera / Causa / Empresa. \n Matiz: Gran obra o trayectoria profesional.	事业 (shì yè)
#42. conversación (2). \n Tono formal / serio. \n Una plática con fondo, a veces oficial o profesional.	谈话 (tán huà)
#32. Especial. \n Tiene un matiz de "inusual", "excepcional" o "fuera de lo común". \n Es un adjetivo que resalta que algo se sale de la norma o de la regla general.	特殊 (tè shū)
#89. El Cielo (Espacio físico)	天空 (tiān kōng)
#90. En el cielo / "Allá arriba". \n Se usa para indicar la posición de algo respecto a nosotros.	天上 (tiān shàng)
#23. Elegir. \n Informal, rápido	挑 (tiāo)
#20. Seleccionar. \n Implica un proceso de mirar con cuidado entre varias opciones para quedarse con la mejor.	挑选 (tiāo xuǎn)
Examen / Hoja de respuestas. \n Matiz: El documento físico donde se realiza la prueba.	试卷 (shì juàn)
Prueba / Experimento. \n Matiz: Test técnico o verificación científica de algo.	试验 (shì yàn)
Aplicable / Adecuado. \n Matiz: Que se ajusta a una normativa o uso técnico (ej. leyes).	适用 (shì yòng)
Cosecha / Ganancia. \n Matiz: Tanto agrícola como de aprendizaje o experiencia.	收获 (shōu huò)
Ver (televisión/transmisión). \n Matiz: Específicamente para programas emitidos.	收看 (shōu kàn)
Hecho a mano / Manual. \n Matiz: Trabajo artesanal o realizado sin máquinas.	手工 (shǒu gōng)
Cirugía / Operación médica.	手术 (shǒu shù)
Guantes.	手套 (shào tào)
Trámites / Formalidades. \n Matiz: Pasos burocráticos necesarios para un fin.	手续 (shǒu xù)
Dedo (de la mano).	手指 (shǒu zhǐ)
Vigilar / Cumplir. \n Matiz: Guardar un lugar o seguir fielmente una regla.	守 (shǒu)
Estantería / Librero.	书架 (shū jià)
Confortable / Acogedor. \n Matiz: Se refiere a la comodidad de un lugar o mueble.	舒适 (shū shì)
Ingresar / Input. \n Matiz: Acción de escribir datos en un dispositivo.	输入 (shū rù)
Habilidoso / Experto. \n Matiz: Maestría técnica obtenida por la práctica.	熟练 (shú liàn)
Conocido (persona). \n Matiz: Alguien a quien conoces pero no es necesariamente amigo.	熟人 (shú rén)
Pertenecer a. \n Matiz: Relación de propiedad o inclusión en una categoría.	属于 (shǔ yú)
Ramo / Manojo / Clasificador para flores.	束 (shù)
Datos (informáticos).	数据 (shù jù)
Persuadir / Convencer.	说服 (shuō fú)
Pensamiento / Ideología. \n Matiz: Conjunto de ideas o mentalidad.	思想 (sī xiǎng)
En cualquier momento.	随时 (suí shí)
Al pasar / Sin esfuerzo extra. \n Matiz: Hacer algo aprovechando otro movimiento (ej. cerrar la puerta al salir).	随手 (suí shǒu)
Acortar / Reducir (longitud/tiempo).	缩短 (suō duǎn)
Reducir / Encoger (tamaño/escala).	缩小 (suō xiǎo)
Lugar / Clasificador para edificios / Partícula gramatical.	所 (suǒ)
Escalón / Peldaño.	台阶 (tái jiē)
Señora / Esposa.	太太 (tài tài)
Juego / Estuche / Clasificador. \n Matiz: Para grupos de cosas (ej. un traje, una casa).	套 (tào)
Rasgo distintivo / Especialidad. \n Matiz: Lo que hace único a un lugar o producto.	特色 (tè sè)
Rasgo / Atributo. \n Matiz: Características físicas o de identidad de algo/alguien.	特征 (tè zhēng)
Hacer una pregunta. \n Es mucho más formal. Implica que estás en un entorno donde hacer preguntas tiene una estructura o es parte de un evento. Se utiliza normalmente en lugares como: * El salón de clases en la escuela (ya sea el profesor a los alumnos o viceversa). * Reuniones de negocios o reuniones de empresa. * Ruedas de prensa o en la típica sesión de preguntas y respuestas (Q&A) después de una presentación.	提问 (tí wèn) \n 现在是提问时间。- Ahora es el momento de hacer preguntas / sesión de preguntas.
Título / Asunto / Tema.	题目 (tí mù)
Comprender / Aprender de la experiencia. \n Matiz: Conocimiento profundo por vivencia.	体会 (tǐ huì)
Reflejar / Encarnar / Manifestar. \n Matiz: Mostrar una cualidad abstracta de forma concreta.	体现 (tǐ xiàn)
Experimentar / Vivencia. \n Matiz: Probar o sentir algo personalmente.	体验 (tǐ yàn)
Rellenar / Llenar. \n Matiz: Escribir información en espacios vacíos.	填 (tián)
Desafío / Retar. \n Matiz: Incitar a una competencia o enfrentarse a una dificultad.	挑战 (tiǎo zhàn)
Salto de altura (deporte).	跳高 (tiào gāo)
Salto de longitud (deporte).	跳远 (tiào yuǎn)
Pegar / Adherir / Estar pegado a. \n Matiz: Usar adhesivo o estar muy cerca físicamente.	贴 (tiē)
Ferrocarril / Vía férrea. \n Matiz: El camino de hierro para los trenes.	铁路 (tiě lù)
Normalmente / Usualmente. \n Matiz: Frecuencia habitual basada en la norma.	通常 (tōng cháng)
Compasión / Simpatía. \n Matiz: Sentir lástima o entender el sufrimiento ajeno.	同情 (tóng qíng)
Estadística / Contabilizar. \n Matiz: Recopilación y análisis de datos.	统计 (tǒng jì)
Unificar / Unificado. \n Matiz: Juntar varias partes en un todo coherente.	统一 (tǒng yī)
Doloroso / Sufrimiento. \n Matiz: Profunda angustia emocional o mental.	痛苦 (tòng kǔ)
s. cabeza	头 (tóu)
Lanzar / Invertir / Arrojar.	投 (tóu)
Entregarse a / Invertido. \n Matiz: Concentrar toda la energía en una actividad.	投入 (tóu rù)
Destacado / Sobresalir. \n Matiz: Algo que resalta por su importancia o calidad.	突出 (tū chū)
Dibujo / Pintura. \n Matiz: Representación visual artística.	图画 (tú huà)
Impulsar. \n Matiz: Se enfoca en la fuerza o acción que provoca un cambio o desarrollo.	推动 (tuī dòng) \n 公司正在推动这个项目
Promover. \n Matiz: literalmente significa "empujar hacia adelante". \n Se enfoca en llevar algo hacia adelante de manera continua hasta que progrese.	推进 (tuī jìn)
Retroceder / Retirarse / Devolver. \n Matiz: Movimiento hacia atrás o reembolso.	退 (tuì)
Retirarse / Abandonar. \n Matiz: Salir de una competencia, grupo o juego.	退出 (tuì chū)
Jubilarse / Retirarse del trabajo.	退休 (tuì xiū)
Perfecto. \n Matiz: Que no tiene defectos.	完美 (wán měi)
Completo / Íntegro / Intacto. \n Matiz: Que no le falta ninguna parte.	完整 (wán zhěng)
Juguete.	玩具 (wán jù)
Por si acaso / En caso de que. \n Matiz: Se usa para eventos improbables pero posibles.	万一 (wàn yī)
Dañar / Perjudicar. \n Matiz: Causar un daño grave o poner en peligro (formal).	危害 (wēi hài)
Sonreír / Sonrisa. \n Matiz: Gesto suave sin emitir carcajadas.	微笑 (wēi xiào)
Rodear / Cercar / Bufanda. (Raíz de rodear).	围 (wéi)
Bufanda.	围巾 (wéi jīn)
Mantener / Conservar. \n Matiz: Mantener un estado o situación estable.	维持 (wéi chí)
Mantenimiento / Reparación. \n Matiz: Acción de arreglar máquinas o edificios.	维修 (wéi xiū)
Grande / Grandioso. \n Matiz: Noble y de gran impacto (ej. un gran hombre).	伟大 (wěi dà)
Cola / Rabo (de un animal).	尾巴 (wěi ba)
Por / Para / Ser. (Raíz polifónica según el tono).	为 (wèi)
Futuro.	未来 (wèi lái)
Estar situado en / Localizarse en. \n Matiz: Uso formal para ubicación geográfica.	位于 (wèi yú)
Posición / Ubicación / Lugar.	位置 (wèi zhì)
Alimentar / Dar de comer / ¿Diga? (al teléfono).	喂 (wèi)
Cálido / Caluroso. \n Matiz: Temperatura agradable o calidez emocional.	温暖 (wēn nuǎn)
Literatura.	文学 (wén xué)
Estable / Estabilidad. \n Matiz: Falta de cambios bruscos o equilibrio.	稳定 (wěn dìng)
Dar la mano / Estrechar la mano.	握手 (wò shǒu)
Innumerables / Sin número.	无数 (wú shù)
Infinito / Ilimitado.	无限 (wú xiàn)
Artes marciales / Wushu.	武术 (wǔ shù)
Pajita / Pitillo / Sorbete.	吸管 (xī guǎn)
Absorber / Asimilar. \n Matiz: Incorporar líquidos, luz o conocimientos.	吸收 (xī shōu)
Sistema / Departamento / Atar. (Raíz de conexión).	系 (xì)
Sistema (técnico, orgánico, de red o estructural). \n Se centra en una estructura compuesta de múltiples partes interconectadas que funcionan juntas para cumplir un propósito específico (como hardware, software, biología o redes de transporte).	系统 (xì tǒng)
Detalle / Pormenor.	细节 (xì jié)
Descargar (archivos de internet).	下载 (xià zài)
Avanzado. \n Matiz: Que está a la vanguardia en tecnología o ideas.	先进 (xiān jìn)
Parecer / Verse como. \n Matiz: Mostrar una apariencia externa (ej. "te ves cansado").	显得 (xiǎn de)
adv. Obviamente / Claramente.	显然 (xiǎn rán)
Condado. \n Matiz: División administrativa por debajo de la ciudad.	县 (xiàn)
En el lugar / Escena. \n Matiz: Presencia física en el sitio de un evento o noticia.	现场 (xiàn chǎng)
Moderno / Época contemporánea.	现代 (xiàn dài)
Modernización / Modernizar. \n Matiz: Proceso de actualización tecnológica o social.	现代化 (xiàn dài huà)
Fenómeno. \n Matiz: Hecho o suceso que se manifiesta y puede observarse.	现象 (xiàn xiàng)
Limitar / Restricción. \n Matiz: Poner un tope o frontera a una acción o cantidad.	限制 (xiàn zhì)
Bastante / Equivalente / Corresponder. \n Matiz: Muy usado como adverbio de grado (bastante).	相当 (xiāng dāng)
Relacionado / Referente a. \n Matiz: Vínculo de conexión entre dos asuntos.	相关 (xiāng guān)
Similar / Semejante. \n Matiz: Que se parece mucho pero no es idéntico.	相似 (xiāng sì)
Extrañar / Echar de menos. \n Matiz: Sentimiento de nostalgia por alguien o un lugar.	想念 (xiǎng nián)
Imaginar / Imaginación. \n Matiz: Crear imágenes mentales de algo no presente.	想象 (xiǎng xiàng)
Proyecto / Ítem / Programa. \n Matiz: Tarea organizada con un fin específico.	项目 (xiàng mù)
Consumir / Gasto / Consumo. \n Matiz: Uso de dinero o recursos en bienes y servicios.	消费 (xiāo fèi)
Digerir / Digestión. \n Matiz: Literal (comida) o figurado (conocimientos).	消化 (xiāo huà)
Desaparecer / Esfumarse. \n Matiz: Dejar de estar a la vista o dejar de existir.	消失 (xiāo shī)
Vender / Ventas / Comercializar. \n Matiz: El acto de vender productos (formal).	销售 (xiāo shòu)
Señorita / (Cuidado: en contextos informales de ocio nocturno puede tener matiz negativo).	小姐 (xiǎo jiě)
Eficiencia. \n Matiz: Relación entre trabajo realizado y tiempo/recursos usados.	效率 (xiào lǜ)
Redacción / Escritura / Escribir (como oficio).	写作 (xiě zuò)
Mentalidad, estado mental. Matiz: Lo que ocurre en la mente (emociones, pensamientos).	心理 (xīn lǐ)
Novio (en la boda).	新郎 (xīn láng)
Novia (en la boda).	新娘 (xīn niáng)
Nuevo tipo / Nuevo modelo.	新型 (xīn xíng)
Sobre (para cartas).	信封 (xìn fēng)
Confiar / Tener confianza en alguien. \n Matiz: Creer en la honestidad de otro.	信任 (xìn rèn)
Caminar / Ir / Estar bien / Ok. \n Matiz: Expresa capacidad o permiso.	行 (xíng)
Acción / Actuar / Movimiento.	行动 (xíng dòng)
Peatón.	行人 (xíng rén)
Comportamiento / Conducta. \n Matiz: Acciones morales o legales de una persona.	行为 (xíng wéi)
Profesión / Industria / Gremio. (Pronunciación: háng yè).	行业 (háng yè)
Formar / Tomar forma. \n Matiz: Surgimiento natural de una situación o estructura.	形成 (xíng chéng)
Describir. \n Matiz: Explicar las características de algo con palabras.	形容 (xíng róng)
Forma / Formato / Apariencia externa.	形式 (xíng shì)
Situación / Coyuntura. \n Matiz: Estado actual de los asuntos políticos o económicos.	形势 (xíng shì)
Imagen / Figura / Vívido. \n Matiz: La percepción pública o física de alguien.	形象 (xíng xiàng)
Forma / Figura geométrica. \n Matiz: El contorno físico de un objeto.	形状 (xíng zhuàng)
Afortunado / Suerte. \n Matiz: Tener buena fortuna en un evento específico.	幸运 (xìng yùn)
Naturaleza / Propiedad / Esencia. \n Matiz: Cualidad intrínseca de una sustancia o asunto.	性质 (xìng zhì)
Modificar / Corregir / Enmendar. \n Matiz: Cambiar algo para mejorarlo o actualizarlo.	修改 (xiū gǎi)
Demanda / Requerimiento. \n Matiz: Necesidad del mercado o de un usuario.	需求 (xū qiú)
Anunciar / Proclamar. \n Matiz: Declaración pública y formal.	宣布 (xuān bù)
Promocionar / Propaganda / Publicidad. \n Matiz: Difundir ideas o productos.	宣传 (xuān chuán)
Concursante / Atleta / Jugador.	选手 (xuǎn shǒu)
Créditos académicos. Es la unidad de medida que indica la carga horaria o el valor de una asignatura en el sistema educativo (especialmente en universidades y preparatorias).	学分 (xué fēn) \n	你这个学期修多少学分？
Año académico / Curso.	学年 (xué nián)
Académico. \n Matiz: Referente al estudio formal y la investigación.	学术 (xué shù)
Buscar / Localizar. \n Matiz: Tratar de encontrar algo o a alguien.	寻找 (xún zhǎo)
Entrenar / Adiestrar / Entrenamiento.	训练 (xùn liàn)
Extender / Prolongar. \n Matiz: Hacer que algo dure más tiempo o sea más largo.	延长 (yán cháng)
Ojo / Agujero. (Raíz de ojo).	眼 (yǎn)
Lágrimas.	眼泪 (yǎn lèi)
v. Dar una conferencia. \n Matiz: Hablar ante un público sobre un tema.	演讲 (yǎn jiǎng)
Balcón / Terraza.	阳台 (yáng tái)
s. cintura.	腰 (yāo)
Agitar / Sacudir / Balancear.	摇 (yáo)
Medicamentos / Drogas (legales). (Término genérico formal).	药物 (yào wù)
Amateur / Aficionado / Tiempo libre. \n Matiz: Actividad fuera de lo profesional.	业余 (yè yú)
Que el viento te favorezca. (Deseo de buen viaje, común en aviación/marina).	一路顺风 (yī lù shùn fēng)
Unánime / Consistente / Idéntico. \n Matiz: Acuerdo total en opiniones o acciones.	一致 (yí zhì)
Todavía / Aún. \n Matiz: Indica que una situación no ha cambiado a pesar del tiempo o las circunstancias. 	依然 (yī rán)
Mover / Móvil. \n Matiz: Esta palabra tiene una doble vida muy interesante. Se usa tanto para acciones físicas como para la tecnología. 	移动 (yí dòng)
Duda / Interrogante. \n Matiz: Una cuestión o punto que no está claro y genera incertidumbre. 	疑问 (yí wèn)
Así como, así como también. \n Matiz: Se utiliza para conectar palabras, frases o cláusulas dentro de una enumeración. A menudo se coloca antes del último elemento de una lista para indicar que ese elemento se añade a los anteriores, pero a veces con una ligera connotación de que es un complemento o una extensión de lo principal.. 	以及 (yǐ jí) \n	这本书介绍了中国的历史、文化以及地理。(Este libro presenta la historia, la cultura, así como la geografía de China.)
Desde. \n Matiz: Indica el punto de partida en el tiempo hasta el presente. 	以来 (yǐ lái)
Obligación / Deber. \n Matiz: Responsabilidad moral o legal que se debe cumplir sin esperar pago. 	义务 (yì wù)
Cien millones. \n Matiz: Unidad numérica de gran escala (100,000,000). 	亿 (yì)
Accidente / Inesperado. \n Matiz: Suceso que ocurre de forma imprevista, usualmente negativo. 	意外 (yì wài)
Significado / Valor. \n Matiz: Se refiere a la importancia profunda o el propósito de algo. 	意义 (yì yì)
Introducir / Importar. \n Matiz: Traer algo nuevo (tecnología, talento) desde fuera. 	引进 (yǐn jìn)
Debería. \n Matiz: Indica una obligación moral o una fuerte recomendación. 	应当 (yīng dāng)
Aplicación / Aplicar. \n Matiz: Uso práctico de un conocimiento o software informático. 	应用 (yìng yòng)
Recibir / Dar la bienvenida (Formal). \n Matiz: Recibir a alguien importante con preparación/alegría (ej. invitados) o dar la bienvenida a un evento/época (ej. festividades, Año Nuevo).	迎接 (yíng jiē) \n Ojo: Es más formal y solemne que simplemente 接 (jiē). \n 迎接新年
Nutrición / Nutritivo. \n Matiz: Sustancias necesarias para el crecimiento y la salud. 	营养 (yíng yǎng)
Negocio / Abrir al público. \n Matiz: Estado de un comercio que está atendiendo clientes. 	营业 (yíng yè)
Película / Filme. \n Matiz: Obra cinematográfica (término algo más formal que diànyǐng). 	影片 (yǐng piàn)
Cine y televisión. \n Matiz: Referente a la industria audiovisual en su conjunto. 	影视 (yǐng shì)
Valor / Coraje. \n Matiz: La fuerza interna necesaria para enfrentar miedos o retos. 	勇气 (yǒng qì)
Uso / Utilidad. \n Matiz: El propósito o la aplicación específica de un objeto. 	用途 (yòng tú)
Bueno / Fino. \n Matiz: Se usa para describir calidad alta en conducta o productos. 	优良 (yōu liáng)
Hermoso / Exquisito. \n Matiz: Describe una belleza elegante, usualmente en paisajes o artes. 	优美 (yōu měi)
Ventaja / Superioridad. \n Matiz: Condición favorable que pone a alguien por encima de otros. 	优势 (yōu shì)
Oficina de correos. \n Matiz: Lugar físico donde se gestionan envíos y cartas. 	邮局 (yóu jú)
Sello / Estampilla. \n Matiz: Comprobante de pago para envíos postales. 	邮票 (yóu piào)
Beneficioso / Favorable. \n Matiz: Que produce una ventaja o ayuda a un fin. 	有利 (yǒu lì)
Limitado. \n Matiz: Que tiene restricciones o no es infinito. 	有限 (yǒu xiàn)
Jardín de infancia. \n Matiz: Escuela para niños pequeños antes de la primaria. 	幼儿园 (yòu ér yuán)
Maíz. \n Matiz: Planta cereal de granos amarillos. 	玉米 (yù mǐ)
Pronóstico / Anuncio. \n Matiz: Información anticipada sobre el tiempo o eventos. 	预报 (yù bào)
Predecir / Pronosticar. \n Matiz: Estimar lo que ocurrirá en el futuro basándose en datos. 	预测 (yù cè)
Prevenir / Evitar. \n Matiz: Tomar medidas antes de que ocurra un daño o enfermedad. 	预防 (yù fáng)
Prever / Estimar. \n Matiz: Cálculo aproximado de tiempo, costo o cantidad futura. 	预计 (yù jì)
Personal / Empleado. \n Matiz: Las personas que trabajan en una empresa. 	员工 (yuán gōng)
Principio / Norma. \n Matiz: Regla fundamental que guía el comportamiento o juicio. 	原则 (yuán zé)
Redondo / Círculo. \n Matiz: Forma geométrica circular o completa. 	圆 (yuán)
Deseo / Anhelo. \n Matiz: Esperanza de que algo se cumpla en el futuro. 	愿望 (yuàn wàng)
Suerte. \n Matiz: Fortuna, ya sea buena o mala, que le ocurre a alguien. 	运气 (yùn qì)
Transporte / Transportar. \n Matiz: Acción de llevar mercancías o personas de un lugar a otro. 	运输 (yùn shū)
Aplicar / Utilizar. \n Matiz: Poner en práctica conocimientos o habilidades de forma hábil. 	运用 (yùn yòng)
Radicar en / Consistir en. \n Matiz: Expresión formal para indicar el punto clave de un asunto. 	在于 (zài yú)
Estar de acuerdo / Aprobar. \n Matiz: Manifestar conformidad con una idea o propuesta. 	赞成 (zàn chéng)
Hace tiempo / Ya. \n Matiz: Similar a zǎojiù, enfatizando la anterioridad. 	早已 (zǎo yǐ)
Hacer / Crear. \n Matiz: Raíz para construir, fabricar o inventar. 	造 (zào)
Causar / Provocar. \n Matiz: Dar origen a un resultado, usualmente negativo. 	造成 (zào chéng)
